color = { 255  215  183 }
graphical_culture = EuropeanGC

party = {
	name = "WLD_liberal"
	start_date = 1630.1.1
	end_date = 2000.1.1

	ideology = liberal

	economic_policy = laissez_faire
	trade_policy = free_trade
	religious_policy = pluralism
	citizenship_policy = limited_citizenship
	war_policy = anti_military
}

party = {
	name = "WLD_conservative"
	start_date = 1678.1.1
	end_date = 2000.1.1

	ideology = conservative

	economic_policy = laissez_faire
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = limited_citizenship
	war_policy = anti_military
}

party = {
	name = "WLD_liberal_2"
	start_date = 1661.1.1
	end_date = 2000.1.1

	ideology = liberal

	economic_policy = laissez_faire
	trade_policy = free_trade
	religious_policy = pluralism
	citizenship_policy = limited_citizenship
	war_policy = jingoism
}

party = {
	name = "WLD_liberal_3"
	start_date = 1661.1.1
	end_date = 2000.1.1

	ideology = liberal

	economic_policy = laissez_faire
	trade_policy = free_trade
	religious_policy = pluralism
	citizenship_policy = limited_citizenship
	war_policy = pro_military
}

party = {
	name = "WLD_socialist"
	start_date = 1660.1.1
	end_date = 1875.1.1

	ideology = socialist

	economic_policy = planned_economy
	trade_policy = free_trade
	religious_policy = pluralism
	citizenship_policy = full_citizenship
	war_policy = anti_military
}

party = {
	name = "ANH_socialist_2"
	start_date = 1848.1.1
	end_date = 1875.1.1

	ideology = socialist

	economic_policy = planned_economy
	trade_policy = free_trade
	religious_policy = secularized
	citizenship_policy = full_citizenship
	war_policy = anti_military
}

party = {
	name = "WLD_socialist_3"
	start_date = 1675.1.1
	end_date = 2000.1.1

	ideology = socialist

	economic_policy = planned_economy
	trade_policy = free_trade
	religious_policy = secularized
	citizenship_policy = full_citizenship
	war_policy = anti_military
}

party = {
	name = "WLD_reactionary"
	start_date = 1630.1.1
	end_date = 2000.1.1

	ideology = reactionary

	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

party = {
	name = "WLD_conservative_2"
	start_date = 1630.1.1
	end_date = 2000.1.1

	ideology = conservative

	economic_policy = interventionism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

party = {
	name = "ANH_conservative_3"
	start_date = 1878.1.1
	end_date = 2000.1.1

	ideology = conservative

	economic_policy = interventionism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = pro_military
}

party = {
	name = "WLD_anarcho_liberal"
	start_date = 1630.1.1
	end_date = 2000.1.1

	ideology = anarcho_liberal

	economic_policy = laissez_faire
	trade_policy = free_trade
	religious_policy = pro_atheism
	citizenship_policy = full_citizenship
	war_policy = pro_military
}

party = {
	name = "WLD_communist"
	start_date = 1648.1.1
	end_date = 2000.1.1

	ideology = communist

	economic_policy = planned_economy
	trade_policy = protectionism
	religious_policy = pro_atheism
	citizenship_policy = full_citizenship
	war_policy = pro_military
}

party = {
	name = "WLD_fascist"
	start_date = 1705.1.1
	end_date = 2000.1.1

	ideology = fascist

	economic_policy = state_capitalism
	trade_policy = protectionism
	religious_policy = moralism
	citizenship_policy = residency
	war_policy = jingoism
}

unit_names = {
	dreadnought = {
		Anhalt Herzog "Der Alte Dessauer" "Vater Franz" Askanien Erbprinz Dessau Zerbst Plotzkau K�then Bernburg Oranienbaum 
	}
	ironclad = {
		Anhalt Herzog "Der Alte Dessauer" "Vater Franz" Askanien Erbprinz Dessau Zerbst Plotzkau K�then Bernburg Oranienbaum 
	}
	manowar = {
		Anhalt Herzog "Der Alte Dessauer" "Vater Franz" Askanien Erbprinz Dessau Zerbst Plotzkau K�then Bernburg Oranienbaum 
	}
	cruiser = {
		Anhalt Herzog "Der Alte Dessauer" "Vater Franz" Askanien Erbprinz Dessau Zerbst Plotzkau K�then Bernburg Oranienbaum 
	}
	frigate = {
		Anhalt Herzog "Der Alte Dessauer" "Vater Franz" Askanien Erbprinz Dessau Zerbst Plotzkau K�then Bernburg Oranienbaum 
	}
	monitor = {
		Anhalt Herzog "Der Alte Dessauer" "Vater Franz" Askanien Erbprinz Dessau Zerbst Plotzkau K�then Bernburg Oranienbaum 
	}
	clipper_transport = {
		
	}
	steam_transport = {
		
	}
	commerce_raider = {
		Anhalt Herzog "Der Alte Dessauer" "Vater Franz" Askanien Erbprinz Dessau Zerbst Plotzkau K�then Bernburg Oranienbaum 
	}
}
