EVTNAME1;The Jmelnitski Rebellion of 1648;x;
EVTDESC1;After years of $COUNTRY_ADJ$ represion, the Cossacks rebeled against the enemy, but, with Russian help. This rebellion is one of the first patriotic movements on europe. But, the rise of nationalism gonna be a few centuries later.;x;
EVTOPTA1;Out with the cossacks!;x;
EVTOPTB1;Ok, agree their exigences...;x;
EVTNAME2;Westfalia Peace;x;
EVTDESC2;The French gang have winned the Thirty Years War, and they forced catholics to sing the Westfalia Peace. This is a before and after for the war history, the next wars gonna be of politic instead religion.;x;
EVTOPTA2;It's time of a descentralitzation of the Holy Roman Empire;x;
EVTNAME3;The French consolidation as the Greatest Power!;x;
EVTDESC3;After the Thirty Years War, we get the dominions of Verdun, and we defeated two of the strongest nations in Europe, Habsburg Monarchy, and the Spanish Empire, we have to celebrate it, but we have to rember, Catalonia needs our help against the Spanish tyrans...;x;
EVTOPTA3;Glory to France!;x;
EVTNAME4;The Pomeranian Territoies;x;
EVTDESC4;We want claim West Pomerania, in honor of our king, the "Northen Lyon", Gustav Adolph II of Sweden, he gonna be proud of us!.;x;
EVTOPTA4;Glory to the Swedish Empire!!;x;
EVTNAME5;France offer soldiers to us!;x;
EVTDESC5;After the gratest religion conflict in europe history, the Kingdom of France offered more help in our war against the Spanish Empire, but, we have to enter in the French sphere...¿Really it's worth it? Sell our nation...or no...;x;
EVTOPTA5;We have to agree the offer...;x;
EVTOPTB5;We refuse the French offer, we are catalans, not french;x;
EVTNAME6;The Reapers Revolt;x;
EVTDESC6;Conde Duque de Olivares aproved the "Ley de unión de armas", this law stipulates that all the Iberian Kingdoms have to apport some soldiers to the Spanish Crown, but it is doen't agreed in the Catalan Principality. After this, and the French Support the Catalans have been sublebated in the Reapers War;x;
EVTOPTA6;Crush them!;x;
EVTNAME7;West Pomerania Annexation;x;
EVTDESC7;The winners of the war wont otorgate our great margraviate more lands, and, they give us West Pomerania region!;x;
EVTOPTA7;Great, Glory Brandemburg!;x;
EVTNAME8;Portuguese Ursurping!;x;
EVTDESC8;The Portuguese nobility is tied of have to contribute to the Spanish Crown in all the wars, and they decided to start the Portuguese Restoration War and become independent.;x;
EVTOPTA8;Crush them!;x;
EVTNAME9;The oficial independence of the Netherlands;x;
EVTDESC9;At the end of the Thirty Years' War, the Peace of Westphalia also specified that the Netherlands would remain independent. This put an end to both the greatest war of religion in Europe and the Eighty Years' War. Let's hope this is not the beginning of the end of the great Spanish Empire...;x;
EVTOPTA9;We hope it, we hope it...!;x;
EVTNAME10;The Verdun Peace!;x;
EVTDESC10;We have been humiliated by the Holy Roman Empire and Spain, but, we have to accept it. Our king agreed the Montpellier armistice, and a few months later all the involved countries created the Verdun Peace, giving a end to this bloddy and innecesary war...Why we put the nose in the worst places?!!;x;
